job_id,Year,Salary,remote_id,size_id,currency_id,experience_id,employment_id,position_id,country_id
1,2025,170000,1,1,1,1,1,1,1
2,2025,110000,1,1,1,1,1,1,1
3,2025,143000,1,1,1,1,1,1,1
4,2025,106000,1,1,1,1,1,1,1
5,2025,360200,1,1,1,1,1,1,1
6,2025,239700,1,1,1,1,1,1,1
7,2025,234000,1,1,1,1,1,2,1
8,2025,146000,1,1,1,1,1,2,1
9,2025,86000,1,1,1,1,1,2,1
10,2025,80000,1,1,1,1,1,2,1
11,2025,228300,1,1,1,1,1,3,1
12,2025,105200,1,1,1,1,1,3,1
13,2025,216000,1,1,1,1,1,2,1
14,2025,135000,1,1,1,1,1,2,1
15,2025,216000,1,1,1,1,1,1,1
16,2025,135000,1,1,1,1,1,1,1
17,2025,179000,1,1,1,2,1,1,1
18,2025,112000,1,1,1,2,1,1,1
19,2025,282000,1,1,1,1,1,1,1
20,2025,176000,1,1,1,1,1,1,1
21,2025,234000,1,1,1,1,1,1,1
22,2025,146000,1,1,1,1,1,1,1
23,2025,124805,1,2,1,3,1,3,1
24,2025,83203,1,2,1,3,1,3,1
25,2025,145000,1,1,1,1,1,1,1
26,2025,98200,1,1,1,1,1,1,1
27,2025,185000,1,1,1,1,1,1,1
28,2025,111200,1,1,1,1,1,1,1
29,2025,219200,1,1,1,1,1,2,1
30,2025,103800,1,1,1,1,1,2,1
31,2025,90000,1,1,1,3,1,2,1
32,2025,60000,1,1,1,3,1,2,1
33,2025,147600,1,1,1,1,1,1,1
34,2025,88600,1,1,1,1,1,1,1
35,2025,102000,1,1,1,2,1,2,1
36,2025,68000,1,1,1,2,1,2,1
37,2025,285000,1,1,1,1,1,4,1
38,2025,155000,1,1,1,1,1,4,1
39,2025,136200,1,1,1,2,1,1,1
40,2025,81000,1,1,1,2,1,1,1
41,2025,294000,1,1,1,1,1,4,1
42,2025,137600,1,1,1,1,1,4,1
43,2025,175000,2,1,1,1,1,4,1
44,2025,150000,2,1,1,1,1,4,1
45,2025,70000,1,1,1,3,1,5,1
46,2025,50000,1,1,1,3,1,5,1
47,2025,211000,1,1,1,1,1,5,1
