salary_id,salary
1,170000
2,110000
3,143000
4,106000
5,360200
6,239700
7,234000
8,146000
9,86000
10,80000
11,228300
12,105200
13,216000
14,135000
15,179000
16,112000
17,282000
18,176000
19,124805
20,83203
21,145000
22,98200
23,185000
24,111200
25,219200
26,103800
27,90000
28,60000
29,147600
30,88600
31,102000
32,68000
33,285000
34,155000
35,136200
36,81000
37,294000
38,137600
39,175000
40,150000
41,70000
42,50000
43,211000
44,142000
45,65000
46,188500
47,165100
48,169000
49,105000
50,218500
51,161500
52,146800
53,115600
54,224000
55,183580
56,111260
57,121000
58,103000
59,124000
60,86800
61,120000
62,154688
63,103125
64,263900
65,195100
66,87516
67,45360
68,107800
69,78400
70,161700
71,117600
72,161456
73,76075
74,224381
75,149587
76,130590
77,114210
78,209657
79,106250
80,97100
81,54000
82,121300
83,67400
84,136000
85,173900
86,82300
87,190000
88,265600
89,159400
90,235000
91,157000
92,199400
93,119600
94,158620
95,79310
96,188267
97,141200
98,173040
99,86520
100,194740
101,104860
102,219400
103,131600
104,112500
105,67500
106,223900
107,135700
108,165360
109,110240
110,200000
111,158000
112,142700
113,114200
114,223400
115,260000
116,150400
117,264000
118,240000
119,160000
120,241000
121,161000
122,130000
123,213390
124,143245
125,220000
126,140000
127,140049
128,84878
129,174600
130,81900
131,74755
132,48235
133,117811
134,76003
135,183100
136,98900
137,239000
138,211180
139,127890
140,93230
141,71214
142,128600
143,62800
144,128800
145,75200
146,419750
147,227700
148,151800
149,138911
150,160440
151,87120
152,142243
153,184920
154,123280
155,113000
156,74000
157,96600
158,202093
159,137000
160,60400
161,202000
162,310500
163,164000
164,112655
165,46988
166,213200
167,129200
168,95000
169,63400
170,72700
171,100000
172,215000
173,180000
174,89000
175,135400
176,77400
177,275000
178,151500
179,90400
180,226000
181,281000
182,204000
183,225000
184,134500
185,103600
186,242500
187,111740
188,75500
189,250000
190,245000
191,178100
192,79000
193,247296
194,139776
195,108200
196,81400
197,91900
198,76900
199,104000
200,165000
201,207965
202,138643
203,266000
204,177000
205,98000
206,83000
207,123625
208,77265
209,78000
210,115000
211,85000
212,208800
213,98300
214,337000
215,237000
216,141000
217,108000
218,112370
219,68640
220,221000
221,209000
222,152000
223,240400
224,137400
225,108500
226,78800
227,111500
228,248700
229,155700
230,165400
231,106700
232,132400
233,88300
234,172000
235,75600
236,269900
237,143200
238,252000
239,168000
240,212800
241,168480
242,91520
243,131958
244,79175
245,280000
246,720000
247,700000
248,113145
249,70715
250,95347
251,57200
252,725000
253,619000
254,72000
255,197500
256,111100
257,181896
258,206000
259,149200
260,203500
261,117700
262,73588
263,103100
264,64000
265,89600
266,62400
267,400000
268,138500
269,122500
270,189900
271,101800
272,119000
273,86500
274,103576
275,60927
276,114400
277,76800
278,151700
279,84300
280,123000
281,251500
282,125700
283,258750
284,132000
285,272000
286,222480
287,83430
288,128000
289,201250
290,304750
291,240500
292,139100
293,223600
294,129300
295,323400
296,224900
297,129780
298,92700
299,183500
300,115500
301,194688
302,118976
303,125000
304,340000
305,315000
306,153700
307,184250
308,167500
309,262000
310,178200
311,156000
312,93600
313,75000
314,58000
315,42000
316,130100
317,72400
318,204100
319,152200
320,192400
321,109000
322,284280
323,130295
324,166320
325,104080
326,234500
327,142140
328,186350
329,116550
330,334600
331,184000
332,202750
333,139800
334,105100
335,128950
336,103200
337,101527
338,78175
339,120452
340,51393
341,142133
342,60643
343,159264
344,113760
345,192417
346,137441
347,238000
348,195000
349,126900
350,129100
351,121253
352,55155
353,177341
354,273700
355,103700
356,265000
357,303400
358,216700
359,300000
360,270000
361,129000
362,97500
363,72200
364,79900
365,59200
366,372400
367,346000
368,320000
369,230000
370,154460
371,92684
372,284000
373,189000
374,135800
375,84500
376,227950
377,126100
378,61500
379,49500
380,198440
381,116100
382,178000
383,213000
384,250200
385,117200
386,206500
387,147500
388,210000
389,152800
390,110200
391,61200
392,133500
393,92900
394,74080
395,89300
396,204700
397,115700
398,114000
399,261000
400,174000
401,191600
402,103500
403,199000
404,153900
405,199700
406,174900
407,214200
408,187700
409,283800
410,194800
411,170700
412,203275
413,112450
414,78336
415,55955
416,180200
417,148949
418,234700
419,212900
420,121700
421,183015
422,104580
423,246000
424,72534
425,51810
426,62186
427,44419
428,84603
429,60431
430,105295
431,70197
432,118700
433,120900
434,115900
435,129723
436,86482
437,151900
438,101300
439,310300
440,206900
441,341500
442,170300
443,113500
444,150500
445,100300
446,105400
447,70200
448,165500
449,89400
450,115800
451,77200
452,122000
453,150600
454,95800
455,350000
456,240100
457,209700
458,123300
459,246500
460,151000
461,208000
462,144040
463,86260
464,160900
465,87200
466,138200
467,216400
468,187300
469,95300
470,157475
471,114500
472,93500
473,73400
474,90360
475,59250
476,56000
477,131230
478,95440
479,207190
480,135860
481,145290
482,96860
483,115824
484,77216
485,95723
486,63815
487,186840
488,124560
489,76000
490,276000
491,148000
